Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
bsr1002axru-0500-rsn-nnn-nnn-n,bsr1002axru-0500-rsn-nnn-nnn-n BSR Miniature Metric Ball Screw with Flange Nut,"<p>BSR1002AXRU-0500-RSN-NNN-NNN-N (10 mm, 2 mm, 500 mm):<br>
The BSR1002AXRU-0500-RSN ball screw assembly extends the length to 500 mm, making it suitable for applications that require longer travel distances. This assembly remains compact and precise, with a 10 mm diameter and a 2 mm lead.</p>

<h3>Features &amp; Benefits:</h3>

<ul>
  <li>Extended 500 mm length for larger systems where increased travel is necessary.</li>
  <li>10 mm diameter enhances the system's load-bearing abilities without increasing its footprint.</li>
  <li>The 2 mm lead strikes an excellent balance between rapid movement and control.</li>
  <li>Flanged nut design offers a straightforward installation with strong and secure mounting.</li>
  <li>Robust construction with a multi-liner ball return system for smooth performance.</li>
  <li>Designed to support static axial loads up to 2.144 kN (482 lb).</li>
  <li>Equipped with polymer wipers to protect against contaminant ingress for reliable operation.</li>
  <li>Precision manufacturing delivers a high-performance solution for various automation requirements.</li>
</ul>",PBC Linear,Business & Industrial,"","",true,Title,Default Title,,,,,bsr1002axru-0500-rsn-nnn-nnn-n,0.0,,0,deny,manual,287.51,,true,true,,https://cdn.shopify.com/s/files/1/0670/9808/3549/files/BallScrewMini-Product-Flange_1d29297d-e347-4b86-a2da-5c45edcc4550.jpg?v=1712687435,1,BSR1002AXRU-0500-RSN-NNN-NNN-N BSR Miniature Metric Ball Screw with Flange Nut,false,,"BSR1002AXRU-0500-RSN-NNN-NNN-N (10 mm, 2 mm, 500 mm):
The BSR1002AXRU-0500-RSN ball screw assembly extends the length to 500 mm, making it suitable for applications that require longer travel distances. This assembly remains compact and precise, with a 10 mm diameter and a 2 mm lead.

Features & Benefits:

Extended 500 mm length for larger systems where increased travel is necessary.
10 mm diameter enhances the system's load-bearing abilities without increasing its footprint.
The 2 mm lead strikes an excellent balance between rapid movement and control.
Flanged nut design offers a straightforward installation with strong and secure mounting.
Robust construction with a multi-liner ball return system for smooth performance.
Designed to support static axial loads up to 2.144 kN (482 lb).
Equipped with polymer wipers to protect against contaminant ingress for a reliable operation.
Precision manufacturing delivers a high-performance solution for various automation requirements.",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0670/9808/3549/files/BallScrewMini-Product-Flange_1d29297d-e347-4b86-a2da-5c45edcc4550.jpg?v=1712687435,lb,,,true,,,true,287.51,,active
bsr1002axru-0200-rsn-nnn-nnn-n,bsr1002axru-0200-rsn-nnn-nnn-n BSR Miniature Metric Ball Screw with Flange Nut,"<p>BSR1002AXRU-0200-RSN-NNN-NNN-N (10 mm, 2 mm, 200 mm):<br>
Precision and strength are the hallmarks of the BSR1002AXRU-0200-RSN model. With a 10 mm diameter and a 2 mm lead, this 200 mm long ball screw assembly is built for robust applications where space is at a premium yet a high degree of accuracy is required.</p>

<h3>Features &amp; Benefits:</h3>

<ul>
  <li>10 mm diameter for high strength and support in demanding applications.</li>
  <li>2 mm lead provides precision motion control, suitable for a range of industries.</li>
  <li>200 mm length designed for compact spaces requiring precise linear motion.</li>
  <li>Flange nut facilitates easy mounting to machine plates or blocks.</li>
  <li>Multi-liner ball return system ensures reliable, smooth operation.</li>
  <li>Static axial load capacity of 2.144 kN (482 lb) handles significant forces.</li>
  <li>Polymer wipers at each nut end maintain cleanliness, prolonging assembly life.</li>
  <li>Available assembled for convenience or unassembled for custom applications.</li>
</ul>",PBC Linear,Business & Industrial,"","",true,Title,Default Title,,,,,bsr1002axru-0200-rsn-nnn-nnn-n,0.0,,0,deny,manual,294.02,,true,true,,https://cdn.shopify.com/s/files/1/0670/9808/3549/files/BallScrewMini-Product-Flange_94817f59-7e9d-4e7b-9bd1-bf828ddff11c.jpg?v=1712687430,1,BSR1002AXRU-0200-RSN-NNN-NNN-N BSR Miniature Metric Ball Screw with Flange Nut,false,,"BSR1002AXRU-0200-RSN-NNN-NNN-N (10 mm, 2 mm, 200 mm):
Precision and strength are the hallmarks of the BSR1002AXRU-0200-RSN model. With a 10 mm diameter and a 2 mm lead, this 200 mm long ball screw assembly is built for robust applications where space is at a premium yet a high degree of accuracy is required.

Features & Benefits:

10 mm diameter for high strength and support in demanding applications.
2 mm lead provides precision motion control, suitable for a range of industries.
200 mm length designed for compact spaces requiring precise linear motion.
Flange nut facilitates easy mounting to machine plates or blocks.
Multi-liner ball return system ensures reliable, smooth operation.
Static axial load capacity of 2.144 kN (482 lb) handles significant forces.
Polymer wipers at each nut end maintain cleanliness, prolonging assembly life.
Available assembled for convenience or unassembled for custom applications.",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0670/9808/3549/files/BallScrewMini-Product-Flange_94817f59-7e9d-4e7b-9bd1-bf828ddff11c.jpg?v=1712687430,lb,,,true,,,true,294.02,,active
bsr0802axru-0250-rsn-nnn-nnn-n,bsr0802axru-0250-rsn-nnn-nnn-n BSR Miniature Metric Ball Screw with Flange Nut,"<p>Step up your machinery’s precision with the BSR0802AXRU-0250-RSN-NNN-NNN-N miniature metric ball screw assembly, proudly manufactured in the USA* by PBC Linear. This specific model boasts a user-friendly flange nut, enabling effortless integration into your assemblies. It is designed for secure mounting to plates or blocks, courtesy of the conveniently located bolt or screw holes on the flange.</p>

<h3>Key Specifications:</h3>

<ul>
  <li>Size: 8 mm diameter x 2 mm lead</li>
  <li>Ensures a standard, no preload condition with backlash clearance tightly controlled to 0.05 mm MAX</li>
  <li>Capable of handling a static axial load up to 2.144 kN (482 lb.)</li>
  <li>Incorporates a sophisticated multi-liner ball return system for enhanced operational smoothness</li>
  <li>Equipped with polymer wipers at the nut ends, safeguarding against contamination by debris</li>
  <li>Offers both standard and custom-machined journals, available in Fixed or Floating designs</li>
  <li>Both fixed and floating end blocks are offered, catering to a variety of installation needs</li>
  <li>Available as pre-assembled for ease of installation or unassembled for custom applications</li>
  <li>Inquire about our tailored ball screw designs for bespoke application requirements</li>
</ul>

<p>The BSR0802AXRU-0250-RSN-NNN-NNN-N model is engineered for those who need high performance in a compact form factor, offering unparalleled precision and reliability.</p>",PBC Linear,Business & Industrial,"","",true,Title,Default Title,,,,,bsr0802axru-0250-rsn-nnn-nnn-n,0.0,,0,deny,manual,296.63,,true,true,,https://cdn.shopify.com/s/files/1/0670/9808/3549/files/BallScrewMini-Product-Flange_ce1452ad-f0a1-433c-8651-56dbfebd27ae.jpg?v=1712687426,1,BSR0802AXRU-0250-RSN-NNN-NNN-N BSR Miniature Metric Ball Screw with Flange Nut,false,,"Step up your machinery’s precision with the BSR0802AXRU-0250-RSN-NNN-NNN-N miniature metric ball screw assembly, proudly manufactured in the USA* by PBC Linear. This specific model boasts a user-friendly flange nut, enabling effortless integration into your assemblies. It is designed for secure mounting to plates or blocks, courtesy of the conveniently located bolt or screw holes on the flange.

Key Specifications:

Size: 8 mm diameter x 2 mm lead
Ensures a standard, no preload condition with backlash clearance tightly controlled to 0.05 mm MAX
Capable of handling a static axial load up to 2.144 kN (482 lb.)
Incorporates a sophisticated multi-liner ball return system for enhanced operational smoothness
Equipped with polymer wipers at the nut ends, safeguarding against contamination by debris
Offers both standard and custom-machined journals, available in Fixed or Floating designs
Both fixed and floating end blocks are offered, catering to a variety of installation needs
Available as pre-assembled for ease of installation or unassembled for custom applications
Inquire about our tailored ball screw designs for bespoke application requirements
The BSR0802AXRU-0250-RSN-NNN-NNN-N model is engineered for those who need high performance in a compact form factor, offering unparalleled precision and reliability.",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0670/9808/3549/files/BallScrewMini-Product-Flange_ce1452ad-f0a1-433c-8651-56dbfebd27ae.jpg?v=1712687426,lb,,,true,,,true,296.63,,active
bsr0802axru-0150-rsn-nnn-nnn-n,bsr0802axru-0150-rsn-nnn-nnn-n BSR Miniature Metric Ball Screw with Flange Nut,"<p>Dive into the world of precision with the American-made* BSR0802AXRU-0150-RSN-NNN-NNN-N miniature metric ball screw assembly from PBC Linear. This model, designed for compact applications, features a flange nut that simplifies both installation and removal. The flanged ball nut is engineered for easy attachment to plates or blocks using bolts or screws through the pre-drilled holes, enhancing the assembly's reliability and performance.</p>

<h3>Key Specifications:</h3>

<ul>
  <li>Size: 8 mm diameter x 2 mm lead</li>
  <li>Standard, no preload, ensuring minimal backlash clearance up to 0.05 mm MAX</li>
  <li>Static axial load capacity: up to 2.144 kN (482 lb.)</li>
  <li>Features a multi-liner ball return system for smooth operation</li>
  <li>Polymer wipers at both ends of the nut to prevent debris ingress</li>
  <li>Available in standard and special machined journals (Fixed or Floating)</li>
  <li>Options for fixed and floating end blocks to suit various mounting requirements</li>
  <li>Supplied as assembled units for immediate use; unassembled versions available upon request</li>
  <li>Custom ball screw designs available to meet unique application needs</li>
</ul>

<p>The BSR0802AXRU-0150-RSN-NNN-NNN-N is your go-to choice for applications demanding compactness without compromising on performance.</p>",PBC Linear,Business & Industrial,"","",true,Title,Default Title,,,,,bsr0802axru-0150-rsn-nnn-nnn-n,0.0,,0,deny,manual,274.48,,true,true,,https://cdn.shopify.com/s/files/1/0670/9808/3549/files/BallScrewMini-Product-Flange_8694d20b-ee63-4d76-8c4c-1049a3ad93d3.jpg?v=1712687421,1,BSR0802AXRU-0150-RSN-NNN-NNN-N BSR Miniature Metric Ball Screw with Flange Nut,false,,"Dive into the world of precision with the American-made* BSR0802AXRU-0150-RSN-NNN-NNN-N miniature metric ball screw assembly from PBC Linear. This model, designed for compact applications, features a flange nut that simplifies both installation and removal. The flanged ball nut is engineered for easy attachment to plates or blocks using bolts or screws through the pre-drilled holes, enhancing the assembly's reliability and performance.

Key Specifications:

Size: 8 mm diameter x 2 mm lead
Standard, no preload, ensuring minimal backlash clearance up to 0.05 mm MAX
Static axial load capacity: up to 2.144 kN (482 lb.)
Features a multi-liner ball return system for smooth operation
Polymer wipers at both ends of the nut to prevent debris ingress
Available in standard and special machined journals (Fixed or Floating)
Options for fixed and floating end blocks to suit various mounting requirements
Supplied as assembled units for immediate use; unassembled versions available upon request
Custom ball screw designs available to meet unique application needs
The BSR0802AXRU-0150-RSN-NNN-NNN-N is your go-to choice for applications demanding compactness without compromising on performance.",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0670/9808/3549/files/BallScrewMini-Product-Flange_8694d20b-ee63-4d76-8c4c-1049a3ad93d3.jpg?v=1712687421,lb,,,true,,,true,274.48,,active
bsr08025sru-0250-rsn-nnn-nnn-n,bsr08025sru-0250-rsn-nnn-nnn-n BSR Miniature Metric Ball Screw with Flange Nut,"<p>BSR08025SRU-0250-RSN-NNN-NNN-N (8 mm, 2.5 mm, 250 mm):<br>
Combining speed with extended length, the 250 mm version offers the benefits of a 2.5 mm lead, suitable for applications requiring quick positioning over longer distances.</p>

<h2>Features &amp; Benefits:</h2>

<ul>
  <li>Extended travel capabilities with enhanced lead for rapid positioning.</li>
  <li>Durable construction supports high loads while ensuring precise movement.</li>
  <li>Easy to mount and maintain, ideal for automated systems and precision machinery.</li>
</ul>",PBC Linear,Business & Industrial,"","",true,Title,Default Title,,,,,bsr08025sru-0250-rsn-nnn-nnn-n,0.0,,0,deny,manual,176.62,,true,true,,https://cdn.shopify.com/s/files/1/0670/9808/3549/files/BallScrewMini-Product-Flange_8ea26df2-0d11-4f3e-9a49-9205a56dfe29.jpg?v=1712687417,1,BSR08025SRU-0250-RSN-NNN-NNN-N BSR Miniature Metric Ball Screw with Flange Nut,false,,"BSR08025SRU-0250-RSN-NNN-NNN-N (8 mm, 2.5 mm, 250 mm):
Combining speed with extended length, the 250 mm version offers the benefits of a 2.5 mm lead, suitable for applications requiring quick positioning over longer distances.

Features & Benefits:

Extended travel capabilities with enhanced lead for rapid positioning.
Durable construction supports high loads while ensuring precise movement.
Easy to mount and maintain, ideal for automated systems and precision machinery.",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0670/9808/3549/files/BallScrewMini-Product-Flange_8ea26df2-0d11-4f3e-9a49-9205a56dfe29.jpg?v=1712687417,lb,,,true,,,true,176.62,,active
bsr08025sru-0150-rsn-nnn-nnn-n,bsr08025sru-0150-rsn-nnn-nnn-n BSR Miniature Metric Ball Screw with Flange Nut,"<p>BSR08025SRU-0150-RSN-NNN-NNN-N (8 mm, 2.5 mm, 150 mm):<br>
Unique for its 2.5 mm lead, this assembly provides faster travel per rotation, making it ideal for dynamic applications where speed and compact size are crucial.</p>

<h2>Features &amp; Benefits:</h2>

<ul>
  <li>Higher lead for increased travel speed.</li>
  <li>Compact 150 mm length suitable for applications with limited space.</li>
  <li>The flange nut design allows for efficient assembly integration.</li>
  <li>Engineered for high performance with minimal wear and particulate generation.</li>
</ul>",PBC Linear,Business & Industrial,"","",true,Title,Default Title,,,,,bsr08025sru-0150-rsn-nnn-nnn-n,0.0,,0,deny,manual,287.51,,true,true,,https://cdn.shopify.com/s/files/1/0670/9808/3549/files/BallScrewMini-Product-Flange_3f194a22-d5bc-4285-a4b5-856bb06d0822.jpg?v=1712687413,1,BSR08025SRU-0150-RSN-NNN-NNN-N BSR Miniature Metric Ball Screw with Flange Nut,false,,"BSR08025SRU-0150-RSN-NNN-NNN-N (8 mm, 2.5 mm, 150 mm):
Unique for its 2.5 mm lead, this assembly provides faster travel per rotation, making it ideal for dynamic applications where speed and compact size are crucial.

Features & Benefits:

Higher lead for increased travel speed.
Compact 150 mm length suitable for applications with limited space.
The flange nut design allows for efficient assembly integration.
Engineered for high performance with minimal wear and particulate generation.",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0670/9808/3549/files/BallScrewMini-Product-Flange_3f194a22-d5bc-4285-a4b5-856bb06d0822.jpg?v=1712687413,lb,,,true,,,true,287.51,,active
bsr0801axru-0250-rsn-nnn-nnn-n,bsr0801axru-0250-rsn-nnn-nnn-n BSR Miniature Metric Ball Screw with Flange Nut,"<p>BSR0801AXRU-0250-RSN-NNN-NNN-N (8 mm, 1 mm, 250 mm):<br>
Offering more extended travel with the reliability of an 8 mm diameter, this 250 mm ball screw assembly is designed for projects requiring both precision and length.</p>

<h2>Features &amp; Benefits:</h2>

<ul>
  <li>Increased length for more extensive linear motion needs.</li>
  <li>Flange-style nut ensures secure mounting and easy adjustability.</li>
  <li>Designed to withstand demanding operational conditions with high static axial load capacity.</li>
  <li>Optimized for use with FrelonGOLD® lined bearings, offering smooth, maintenance-free motion.</li>
</ul>",PBC Linear,Business & Industrial,"","",true,Title,Default Title,,,,,bsr0801axru-0250-rsn-nnn-nnn-n,0.0,,0,deny,manual,176.62,,true,true,,https://cdn.shopify.com/s/files/1/0670/9808/3549/files/BallScrewMini-Product-Flange_64143b92-0c38-40c0-837b-92f619ba0349.jpg?v=1712687409,1,BSR0801AXRU-0250-RSN-NNN-NNN-N BSR Miniature Metric Ball Screw with Flange Nut,false,,"BSR0801AXRU-0250-RSN-NNN-NNN-N (8 mm, 1 mm, 250 mm):
Offering more extended travel with the reliability of an 8 mm diameter, this 250 mm ball screw assembly is designed for projects requiring both precision and length.

Features & Benefits:

Increased length for more extensive linear motion needs.
Flange-style nut ensures secure mounting and easy adjustability.
Designed to withstand demanding operational conditions with high static axial load capacity.
Optimized for use with FrelonGOLD® lined bearings, offering smooth, maintenance-free motion.",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0670/9808/3549/files/BallScrewMini-Product-Flange_64143b92-0c38-40c0-837b-92f619ba0349.jpg?v=1712687409,lb,,,true,,,true,176.62,,active
bsr0801axru-0150-rsn-nnn-nnn-n,bsr0801axru-0150-rsn-nnn-nnn-n BSR Miniature Metric Ball Screw with Flange Nut,"<p>BSR0801AXRU-0150-RSN-NNN-NNN-N (8 mm, 1 mm, 150 mm):<br>
This model increases the diameter to 8 mm, enhancing the assembly's load-bearing capabilities. The 150 mm length and flange-style nut make it versatile for medium-scale applications.</p>

<h2>Features &amp; Benefits:</h2>

<ul>
  <li>8 mm diameter provides enhanced strength and load capacity.</li>
  <li>The flange nut design facilitates quick installation and removal.</li>
  <li>Polymer wipers and a multi-liner ball return system ensure reliable, clean operation.</li>
  <li>Suitable for a wide range of applications, from industrial automation to precision instruments.</li>
</ul>",PBC Linear,Business & Industrial,"","",true,Title,Default Title,,,,,bsr0801axru-0150-rsn-nnn-nnn-n,0.0,,0,deny,manual,277.09,,true,true,,https://cdn.shopify.com/s/files/1/0670/9808/3549/files/BallScrewMini-Product-Flange_dd7fddf6-bff4-4418-af65-22fd4cb4fa6c.jpg?v=1712687405,1,BSR0801AXRU-0150-RSN-NNN-NNN-N BSR Miniature Metric Ball Screw with Flange Nut,false,,"BSR0801AXRU-0150-RSN-NNN-NNN-N (8 mm, 1 mm, 150 mm):
This model increases the diameter to 8 mm, enhancing the assembly's load-bearing capabilities. The 150 mm length and flange-style nut make it versatile for medium-scale applications.

Features & Benefits:

8 mm diameter provides enhanced strength and load capacity.
The flange nut design facilitates quick installation and removal.
Polymer wipers and a multi-liner ball return system ensure reliable, clean operation.
Suitable for a wide range of applications, from industrial automation to precision instruments.",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0670/9808/3549/files/BallScrewMini-Product-Flange_dd7fddf6-bff4-4418-af65-22fd4cb4fa6c.jpg?v=1712687405,lb,,,true,,,true,277.09,,active
bsr0601axru-0250-rsn-nnn-nnn-n,bsr0601axru-0250-rsn-nnn-nnn-n BSR Miniature Metric Ball Screw with Flange Nut,"<p>BSR0601AXRU-0250-RSN-NNN-NNN-N (6 mm, 1 mm, 250 mm):<br>
Extending the reach, this 250 mm ball screw assembly maintains compactness while allowing for longer linear motion, featuring a flanged nut for easy integration into design frameworks.</p>

<h2>Features &amp; Benefits:</h2>

<ul>
  <li>Extended 250 mm length accommodates larger projects without sacrificing space.</li>
  <li>Flange nut for easy attachment to supporting structures.</li>
  <li>High durability and minimal maintenance requirements, thanks to polymer wipers and a robust ball return system.</li>
  <li>Ideal for applications requiring fine control and high load capacity.</li>
</ul>",PBC Linear,Business & Industrial,"","",true,Title,Default Title,,,,,bsr0601axru-0250-rsn-nnn-nnn-n,0.0,,0,deny,manual,309.20,,true,true,,https://cdn.shopify.com/s/files/1/0670/9808/3549/files/BallScrewMini-Product-Flange_0e1bfe54-6a80-434d-bde8-0e0d81e5e620.jpg?v=1712687402,1,BSR0601AXRU-0250-RSN-NNN-NNN-N BSR Miniature Metric Ball Screw with Flange Nut,false,,"BSR0601AXRU-0250-RSN-NNN-NNN-N (6 mm, 1 mm, 250 mm):
Extending the reach, this 250 mm ball screw assembly maintains compactness while allowing for longer linear motion, featuring a flanged nut for easy integration into design frameworks.

Features & Benefits:

Extended 250 mm length accommodates larger projects without sacrificing space.
Flange nut for easy attachment to supporting structures.
High durability and minimal maintenance requirements, thanks to polymer wipers and a robust ball return system.
Ideal for applications requiring fine control and high load capacity.",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0670/9808/3549/files/BallScrewMini-Product-Flange_0e1bfe54-6a80-434d-bde8-0e0d81e5e620.jpg?v=1712687402,lb,,,true,,,true,309.20,,active
bsr0601axru-0150-rsn-nnn-nnn-n,bsr0601axru-0150-rsn-nnn-nnn-n BSR Miniature Metric Ball Screw with Flange Nut,"<p>BSR0601AXRU-0150-RSN-NNN-NNN-N (6 mm, 1 mm, 150 mm):<br>
Crafted with precision, the BSR0601AXRU-0150-RSN miniature metric ball screw assembly features a 6 mm diameter, a 1 mm lead, and a 150 mm length. The flange-style nut simplifies mounting to plates or blocks, enhancing ease of installation and removal in compact applications.</p>

<h2>Features &amp; Benefits:</h2>

<ul>
  <li>6 mm diameter and 1 mm lead for precise linear movements.</li>
  <li>150 mm length ideal for small-scale automation and precision machinery.</li>
  <li>Flange nut design for straightforward mounting and disassembly.</li>
  <li>Utilizes a multi-liner ball return system for smooth operation.</li>
  <li>Polymer wipers at each end prevent debris accumulation, ensuring longevity.</li>
  <li>Supports static axial loads up to 2.144 kN (482 lb), suitable for various applications.</li>
  <li>Standard and special machined journals enhance compatibility and versatility.</li>
</ul>",PBC Linear,Business & Industrial,"","",true,Title,Default Title,,,,,bsr0601axru-0150-rsn-nnn-nnn-n,0.0,,0,deny,manual,165.70,,true,true,,https://cdn.shopify.com/s/files/1/0670/9808/3549/files/BallScrewMini-Product-Flange.jpg?v=1712687398,1,BSR0601AXRU-0150-RSN-NNN-NNN-N BSR Miniature Metric Ball Screw with Flange Nut,false,,"BSR0601AXRU-0150-RSN-NNN-NNN-N (6 mm, 1 mm, 150 mm):
Crafted with precision, the BSR0601AXRU-0150-RSN miniature metric ball screw assembly features a 6 mm diameter, a 1 mm lead, and a 150 mm length. The flange-style nut simplifies mounting to plates or blocks, enhancing ease of installation and removal in compact applications.

Features & Benefits:

6 mm diameter and 1 mm lead for precise linear movements.
150 mm length ideal for small-scale automation and precision machinery.
Flange nut design for straightforward mounting and disassembly.
Utilizes a multi-liner ball return system for smooth operation.
Polymer wipers at each end prevent debris accumulation, ensuring longevity.
Supports static axial loads up to 2.144 kN (482 lb), suitable for various applications.
Standard and special machined journals enhance compatibility and versatility.",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0670/9808/3549/files/BallScrewMini-Product-Flange.jpg?v=1712687398,lb,,,true,,,true,165.70,,active
